===== START step5-ai-score10 2026/02/09 22:04:53.54 ===== 
[dotenv@17.2.3] injecting env (12) from .env.local -- tip: 🗂️ backup and recover secrets: https://dotenvx.com/ops
✅ step5-ai-score10-fill-empty start {
  LIMIT: 200,
  confidence: 0.7,
  rationale: '短尺のギャグアニメでストーリーは単純。テンポは良いが、感情や世界観は薄め。'
}
→ {
  id: 221,
  title: '放課後のプレアデス',
  story_10: 7,
  animation_10: 8,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 6,
  score_100: 72.5,
  confidence: 0.8,
  rationale: '感情の積み上げが良く、心に響く場面が多い。作画は良好だが特に突出した点はない。'
}
→ {
  id: 222,
  title: 'アクセル・ワールド',
  story_10: 7,
  animation_10: 8,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 7,
  score_100: 73.5,
  confidence: 0.8,
  rationale: '成長譚としてのテーマは良いが、ストーリー展開にやや平凡さを感じる。作画は高水準で、感情を引き出す要素もあり。'
}
→ {
  id: 223,
  title: 'Another',
  story_10: 7,
  animation_10: 8,
  world_10: 8,
  emotion_10: 7,
  tempo_10: 6,
  music_10: 7,
  score_100: 72,
  confidence: 0.8,
  rationale: 'ストーリーは緊張感がありつつもやや予測可能。作画は高水準で、世界観はホラーとしての独自性があるが、テンポは時折ダレる。音楽は雰囲気を盛り上げるが特別印象的ではない。'
}
→ {
  id: 224,
  title: 'あの夏で待ってる',
  story_10: 7,
  animation_10: 8,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 7,
  score_100: 73.5,
  confidence: 0.8,
  rationale: '青春群像劇としての魅力はあるが、ストーリーはやや平凡。作画は良好で、感情的なシーンも多いが、独自性には欠ける。'
}
→ {
  id: 225,
  title: '妖狐×僕SS',
  story_10: 7,
  animation_10: 6,
  world_10: 8,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 7,
  score_100: 73.5,
  confidence: 0.8,
  rationale: '恋愛と感情の描写が強く、心を動かされるシーンが多い。作画は平均的だが、世界観は魅力的で独自性がある。'
}
→ {
  id: 226,
  title: '宇宙兄弟',
  story_10: 8,
  animation_10: 7,
  world_10: 8,
  emotion_10: 9,
  tempo_10: 8,
  music_10: 7,
  score_100: 80.5,
  confidence: 0.8,
  rationale: '兄弟の挑戦を描いた感動的なストーリーが強い。作画は良好だが特別な印象は薄い。テンポも良く、感情を動かす要素が多い。'
}
→ {
  id: 227,
  title: 'エリアの騎士',
  story_10: 7,
  animation_10: 6,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 8,
  music_10: 6,
  score_100: 71.5,
  confidence: 0.8,
  rationale: '王道スポ根で成長物語がしっかり描かれているが、特に新鮮さは感じられない。感情移入はできるが、作画や音楽は平凡。'
}
→ {
  id: 228,
  title: '織田信奈の野望',
  story_10: 6,
  animation_10: 7,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 6,
  score_100: 64,
  confidence: 0.8,
  rationale: '戦国時代を美少女武将で再構成したアイデアは面白いが、ストーリーは平凡。作画は良好だが特筆すべき点は少ない。'
}
→ {
  id: 229,
  title: 'お兄ちゃんだけど愛さえあれば関係ないよねっ',
  story_10: 5,
  animation_10: 6,
  world_10: 5,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 5,
  score_100: 55.5,
  confidence: 0.8,
  rationale: 'ラブコメとしては平凡なストーリーで、特に印象的な要素は少ない。作画は良いが特筆すべき点はなし。テンポは良好で軽く楽しめる。'
}
→ {
  id: 230,
  title: 'ガールズ&パンツァー',
  story_10: 7,
  animation_10: 8,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 8,
  music_10: 7,
  score_100: 74.5,
  confidence: 0.8,
  rationale: 'ストーリーは青春と成長を描きつつも、特に突出した点は少ない。作画は良好で試合シーンが魅力的。テンポも良く、感情を引き出す要素が多い。'
}
→ {
  id: 231,
  title: 'カンピオーネ!',
  story_10: 6,
  animation_10: 5,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 8,
  music_10: 6,
  score_100: 63,
  confidence: 0.7,
  rationale: '設定は面白いがストーリーは平凡。テンポは良く、バトルシーンは楽しめるが、感情的な深みは不足。'
}
→ {
  id: 232,
  title: '銀河へキックオフ!!',
  story_10: 7,
  animation_10: 7,
  world_10: 6,
  emotion_10: 8,
  tempo_10: 8,
  music_10: 6,
  score_100: 70.5,
  confidence: 0.8,
  rationale: '青春スポーツものとしては良いが、シナリオはやや平凡。感情移入しやすく、テンポも良好。'
}
→ {
  id: 233,
  title: 'キルミーベイベー',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 8,
  music_10: 6,
  score_100: 60.5,
  confidence: 0.8,
  rationale: '日常系ギャグとしての楽しさはあるが、ストーリーは平凡。作画は良好で、テンポも良いが、感情的な深みは薄い。'
}
→ {
  id: 234,
  title: '黒子のバスケ',
  story_10: 8,
  animation_10: 9,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 8,
  music_10: 7,
  score_100: 78,
  confidence: 0.9,
  rationale: 'ストーリーは熱いバトルと成長が描かれ、感情を引き出す。作画は高水準で、テンポも良好だが、世界観はやや一般的。'
}
→ {
  id: 235,
  title: 'K',
  story_10: 7,
  animation_10: 8,
  world_10: 8,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 7,
  score_100: 70.5,
  confidence: 0.8,
  rationale: 'シナリオは興味深いがやや複雑で分かりにくい部分も。作画はスタイリッシュで高評価。世界観は魅力的だが独自性はやや薄い。'
}
→ {
  id: 236,
  title: '恋と選挙とチョコレート',
  story_10: 6,
  animation_10: 5,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 7,
  music_10: 6,
  score_100: 62.5,
  confidence: 0.8,
  rationale: 'ストーリーは恋愛と選挙のテーマが面白いが、深みは薄い。作画は平凡で、感情的な描写は良いが突出した点は少ない。'
}
→ {
  id: 237,
  title: 'ココロコネクト',
  story_10: 7,
  animation_10: 6,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 6,
  score_100: 70.5,
  confidence: 0.8,
  rationale: '青春群像劇としての感情のぶつかり合いが強く、emotionは高め。ストーリーは良いが特に突出した点はない。作画は平凡で、音楽も印象に残りにくい。'
}
→ {
  id: 238,
  title: '坂道のアポロン',
  story_10: 8,
  animation_10: 8,
  world_10: 9,
  emotion_10: 9,
  tempo_10: 7,
  music_10: 10,
  score_100: 85.5,
  confidence: 0.9,
  rationale: 'ジャズを通じた友情と恋の描写が感情を強く揺さぶる。音楽がシーンを引き立て、世界観も魅力的。テンポはやや落ちる場面もあるが全体的に高評価。'
}
→ {
  id: 239,
  title: 'さくら荘のペットな彼女',
  story_10: 7,
  animation_10: 7,
  world_10: 8,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 6,
  score_100: 73.5,
  confidence: 0.8,
  rationale: '青春と努力のテーマがしっかり描かれており、感情移入しやすい。作画は安定しているが特別な印象は薄い。'
}
→ {
  id: 240,
  title: 'さんかれあ',
  story_10: 7,
  animation_10: 6,
  world_10: 8,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 6,
  score_100: 72.5,
  confidence: 0.8,
  rationale: '切なさとブラックさのバランスが良いが、ストーリー展開にやや弱さを感じる。世界観は独特で没入感がある。'
}
→ {
  id: 241,
  title: 'ジョジョの奇妙な冒険',
  story_10: 9,
  animation_10: 8,
  world_10: 9,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 8,
  score_100: 83.5,
  confidence: 0.9,
  rationale: '濃い台詞と決めポーズが印象的で、ストーリーは強い。世界観も独特で没入感があるが、テンポはややダレる部分も。'
}
→ {
  id: 242,
  title: '人類は衰退しました',
  story_10: 7,
  animation_10: 6,
  world_10: 8,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 6,
  score_100: 71,
  confidence: 0.8,
  rationale: '独特の言葉回しとユーモアが魅力的で、シナリオは面白いが深みはやや不足。世界観はユニークで没入感がある。'
}
→ {
  id: 243,
  title: '好きっていいなよ。',
  story_10: 7,
  animation_10: 6,
  world_10: 6,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 6,
  score_100: 68.5,
  confidence: 0.8,
  rationale: '恋愛と感情の描写がストレートで心に響くが、シナリオや世界観は平凡。テンポは良好で視聴しやすい。'
}
→ {
  id: 244,
  title: '絶園のテンペスト',
  story_10: 8,
  animation_10: 8,
  world_10: 8,
  emotion_10: 7,
  tempo_10: 7,
  music_10: 7,
  score_100: 75.5,
  confidence: 0.8,
  rationale: '復讐劇の展開が魅力的で、論理的な会話が効果的。作画と演出も良好だが、感情の動きはやや控えめ。'
}
→ {
  id: 245,
  title: 'ソードアート・オンライン',
  story_10: 7,
  animation_10: 8,
  world_10: 7,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 7,
  score_100: 72,
  confidence: 0.9,
  rationale: '全体的に高水準だが、ストーリーの独自性や深みがやや不足。作画は良いが、特に印象的なシーンが少ない。'
}
→ {
  id: 246,
  title: '戦姫絶唱シンフォギア',
  story_10: 6,
  animation_10: 7,
  world_10: 8,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 9,
  score_100: 74,
  confidence: 0.8,
  rationale: '王道のストーリーだが新鮮味は薄い。作画は良好で、音楽が感情を高める要素として強い。'
}
→ {
  id: 247,
  title: 'だから僕は、Hができない。',
  story_10: 5,
  animation_10: 6,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 6,
  music_10: 5,
  score_100: 54,
  confidence: 0.7,
  rationale: 'ストーリーはエロを動力にした設定だが、深みは薄い。作画は平凡で、感情の動きも弱め。'
}
→ {
  id: 248,
  title: 'TARI TARI',
  story_10: 7,
  animation_10: 8,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 8,
  score_100: 74.5,
  confidence: 0.8,
  rationale: '青春群像劇としての感動があり、音楽が作品を引き立てる。ストーリーは良いが特に突出した点はない。'
}
→ {
  id: 249,
  title: '黄昏乙女×アムネジア',
  story_10: 8,
  animation_10: 7,
  world_10: 8,
  emotion_10: 9,
  tempo_10: 7,
  music_10: 7,
  score_100: 79.5,
  confidence: 0.8,
  rationale: '切なさと謎解きがうまく融合しており、感情が強く動かされる。作画は良いが特筆すべき点は少ない。'
}
→ {
  id: 250,
  title: '男子高校生の日常',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 5,
  score_100: 64.5,
  confidence: 0.8,
  rationale: '日常ギャグとしての面白さはあるが、ストーリーは平凡。テンポは良好で、感情的な刺さりもあるが、音楽は印象に残らない。'
}
→ {
  id: 251,
  title: '中二病でも恋がしたい！',
  story_10: 7,
  animation_10: 8,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 8,
  music_10: 7,
  score_100: 74.5,
  confidence: 0.8,
  rationale: '恋愛と青春のテーマがしっかり描かれ、感情の回収も丁寧。作画は高水準だが、世界観は特に独自性が強いわけではない。'
}
→ {
  id: 252,
  title: 'となりの怪物くん',
  story_10: 7,
  animation_10: 6,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 8,
  music_10: 6,
  score_100: 71.5,
  confidence: 0.8,
  rationale: '恋愛要素がしっかり描かれており、感情移入しやすい。テンポも良く、視聴ストレスは少ないが、作画や音楽は平凡。'
}
→ {
  id: 253,
  title: 'ハイスクールD×D',
  story_10: 5,
  animation_10: 6,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 5,
  score_100: 59.5,
  confidence: 0.8,
  rationale: 'ストーリーはバトルとハーレム要素が中心で平凡。作画は良いが特筆すべき点は少ない。世界観は異能バトルとしては楽しめるが独自性は弱い。'
}
→ {
  id: 254,
  title: '這いよれ！ ニャル子さん',
  story_10: 6,
  animation_10: 5,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 8,
  music_10: 6,
  score_100: 63,
  confidence: 0.8,
  rationale: 'パロディ要素が強く、元ネタに依存したストーリーは一般的な魅力に欠ける。テンポは良好だが、作画は平凡。'
}
→ {
  id: 255,
  title: 'はぐれ勇者の鬼畜美学',
  story_10: 5,
  animation_10: 6,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 6,
  music_10: 5,
  score_100: 54,
  confidence: 0.7,
  rationale: 'ストーリーは異世界ものとして平凡で、キャラクターの倫理観も特に新鮮さがない。作画は平均的で、音楽も印象に残らない。'
}
→ {
  id: 256,
  title: 'パパのいうことを聞きなさい！',
  story_10: 6,
  animation_10: 5,
  world_10: 6,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 6,
  score_100: 65,
  confidence: 0.8,
  rationale: '家族の温かさが感情に効くが、ストーリーは平凡で独自性に欠ける。作画は普通で、テンポは良好。'
}
→ {
  id: 257,
  title: '氷菓',
  story_10: 8,
  animation_10: 9,
  world_10: 9,
  emotion_10: 8,
  tempo_10: 8,
  music_10: 7,
  score_100: 82,
  confidence: 0.9,
  rationale: '日常の謎を解くストーリーが魅力的で、キャラクターの関係性が深い。作画は非常に高水準で、世界観も独特。音楽は良いが、感情の増幅にはやや弱い。'
}
→ {
  id: 258,
  title: 'BTOOOM!',
  story_10: 6,
  animation_10: 7,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 6,
  score_100: 64,
  confidence: 0.8,
  rationale: 'デスゲームの設定は面白いが、ストーリー展開は平凡。作画は良好だが特筆すべき点は少ない。'
}
→ {
  id: 259,
  title: 'マギ',
  story_10: 8,
  animation_10: 7,
  world_10: 8,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 7,
  score_100: 77,
  confidence: 0.8,
  rationale: '王道バトルと友情のテーマがしっかりしており、感情を動かす場面も多い。作画は良いが特別優れた点は少ない。'
}
→ {
  id: 260,
  title: 'めだかボックス',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 7,
  music_10: 6,
  score_100: 59.5,
  confidence: 0.8,
  rationale: 'ストーリーは学園ものとしては面白いが、特に印象的な点は少ない。作画は良好だが特別ではなく、感情的な深みも薄い。'
}
→ {
  id: 261,
  title: 'ヨルムンガンド',
  story_10: 8,
  animation_10: 7,
  world_10: 8,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 6,
  score_100: 74.5,
  confidence: 0.8,
  rationale: 'シナリオは戦場の倫理を描きつつテンポが良い。作画は良いが特別ではなく、音楽は平凡。'
}
→ {
  id: 262,
  title: 'リトルバスターズ!',
  story_10: 8,
  animation_10: 7,
  world_10: 8,
  emotion_10: 9,
  tempo_10: 7,
  music_10: 8,
  score_100: 80.5,
  confidence: 0.8,
  rationale: '友情と感情の描写が強く、心を動かされるシーンが多い。作画は良いが特に突出した点はない。'
}
→ {
  id: 263,
  title: 'アウトブレイク・カンパニー 萌える侵略者',
  story_10: 6,
  animation_10: 5,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 5,
  score_100: 61,
  confidence: 0.7,
  rationale: '異世界とオタク文化の融合は面白いが、ストーリーは平凡。作画は普通で、感情的な深みはやや不足。'
}
→ {
  id: 264,
  title: '惡の華',
  story_10: 8,
  animation_10: 7,
  world_10: 9,
  emotion_10: 9,
  tempo_10: 6,
  music_10: 7,
  score_100: 80.5,
  confidence: 0.8,
  rationale: '心理描写が深く、テーマが刺さる。世界観は独特で没入感が高いが、テンポはややダレる部分がある。'
}
→ {
  id: 265,
  title: '犬とハサミは使いよう',
  story_10: 5,
  animation_10: 6,
  world_10: 6,
  emotion_10: 5,
  tempo_10: 7,
  music_10: 5,
  score_100: 55,
  confidence: 0.7,
  rationale: 'カオスコメディとしてのノリはあるが、シナリオや感情の深みは薄い。作画は平凡で、世界観も特に独自性は感じられない。'
}
→ {
  id: 266,
  title: '有頂天家族',
  story_10: 8,
  animation_10: 7,
  world_10: 9,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 7,
  score_100: 79,
  confidence: 0.9,
  rationale: '家族の再生を描くストーリーが魅力的で、情緒豊かな会話が心を動かす。世界観は独特で高評価だが、作画はやや平凡。'
}
→ {
  id: 267,
  title: '俺の脳内選択肢が、学園ラブコメを全力で邪魔している',
  story_10: 6,
  animation_10: 5,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 7,
  music_10: 5,
  score_100: 61.5,
  confidence: 0.8,
  rationale: 'ギャグ要素が強いが、ストーリーは平凡で深みが少ない。テンポは良好だが、音楽は印象に残らない。'
}
→ {
  id: 268,
  title: '俺の彼女と幼なじみが修羅場すぎる',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 6,
  score_100: 65.5,
  confidence: 0.8,
  rationale: 'ラブコメとしての会話の勢いは良いが、ストーリーは平凡。テンポは良く、視聴ストレスは少ない。'
}
→ {
  id: 269,
  title: '革命機ヴァルヴレイヴ',
  story_10: 7,
  animation_10: 8,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 7,
  score_100: 68.5,
  confidence: 0.8,
  rationale: 'シナリオは勢いがあるが深みには欠ける。作画は良好で、テンポもまずまず。音楽はシーンを盛り上げるが特筆すべき点は少ない。'
}
→ {
  id: 270,
  title: '神さまのいない日曜日',
  story_10: 8,
  animation_10: 7,
  world_10: 9,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 8,
  score_100: 80,
  confidence: 0.8,
  rationale: '死なない世界のテーマが深く、感情に訴える描写が多い。作画は良いが特別な印象は薄い。'
}
→ {
  id: 271,
  title: '君のいる町',
  story_10: 7,
  animation_10: 6,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 6,
  score_100: 70.5,
  confidence: 0.8,
  rationale: '恋愛のすれ違いをテーマにした感情的なストーリーが良いが、作画は平凡。テンポは良好で感情を揺さぶる要素が強い。'
}
→ {
  id: 272,
  title: '境界の彼方',
  story_10: 7,
  animation_10: 9,
  world_10: 8,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 8,
  score_100: 77.5,
  confidence: 0.8,
  rationale: 'シナリオは良いが特に突出した点はない。作画と音楽が強く、感情を引き立てる。世界観も魅力的だが独自性はやや弱め。'
}
→ {
  id: 273,
  title: 'キルラキル',
  story_10: 7,
  animation_10: 9,
  world_10: 8,
  emotion_10: 8,
  tempo_10: 9,
  music_10: 7,
  score_100: 78.5,
  confidence: 0.8,
  rationale: '勢いと演出が強く、テンポも良好。ストーリーは面白いが深みには欠ける。作画はTRIGGERらしく高水準。'
}
→ {
  id: 274,
  title: '銀の匙 Silver Spoon',
  story_10: 8,
  animation_10: 7,
  world_10: 8,
  emotion_10: 9,
  tempo_10: 8,
  music_10: 7,
  score_100: 80.5,
  confidence: 0.8,
  rationale: '青春と成長を描いたストーリーが感動的でemotion高め。作画は良好だが特別ではなく、世界観は農業に根ざした独自性がある。'
}
→ {
  id: 275,
  title: 'ゴールデンタイム',
  story_10: 7,
  animation_10: 6,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 7,
  music_10: 6,
  score_100: 70.5,
  confidence: 0.8,
  rationale: '恋愛ドラマとしての感情描写は良いが、ストーリーは一般的。作画は平凡で、音楽も特に印象的ではない。'
}
→ {
  id: 276,
  title: '琴浦さん',
  story_10: 8,
  animation_10: 6,
  world_10: 7,
  emotion_10: 9,
  tempo_10: 8,
  music_10: 7,
  score_100: 77.5,
  confidence: 0.8,
  rationale: '心の孤独と救いのテーマが強く、感情に訴える描写が多い。作画は平凡だが、テンポは良好。'
}
→ {
  id: 277,
  title: 'サーバント×サービス',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 6,
  score_100: 65.5,
  confidence: 0.8,
  rationale: '日常コメディとしては良好だが、ストーリーや世界観は平凡。テンポは良く、感情移入もしやすい。'
}
→ {
  id: 279,
  title: 'ストライク・ザ・ブラッド',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 6,
  tempo_10: 8,
  music_10: 6,
  score_100: 63,
  confidence: 0.8,
  rationale: '学園と吸血鬼の設定は一般的で新鮮味に欠けるが、テンポは良好。感情的な深みは薄め。'
}
→ {
  id: 280,
  title: 'ダイヤのA',
  story_10: 8,
  animation_10: 7,
  world_10: 7,
  emotion_10: 8,
  tempo_10: 8,
  music_10: 6,
  score_100: 75,
  confidence: 0.8,
  rationale: '成長物語としてのシナリオは良好で、感情を引き出す要素が多い。作画は安定しているが特別な印象は薄い。テンポも良く、視聴ストレスは少ない。'
}
→ {
  id: 281,
  title: 'ダンガンロンパ 希望の学園と絶望の高校生 The Animation',
  story_10: 6,
  animation_10: 5,
  world_10: 7,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 6,
  score_100: 65.5,
  confidence: 0.8,
  rationale: 'ストーリーは興味深いが、展開がやや予測可能。作画は平凡で、世界観は独特だが特別感は薄い。テンポは良好で、感情的な要素もある。'
}
→ {
  id: 282,
  title: 'デート・ア・ライブ',
  story_10: 6,
  animation_10: 6,
  world_10: 7,
  emotion_10: 7,
  tempo_10: 8,
  music_10: 6,
  score_100: 66.5,
  confidence: 0.8,
  rationale: 'ラブコメとバトルの融合は面白いが、ストーリーは平凡。テンポは良好で視聴しやすい。'
}
→ {
  id: 283,
  title: '東京レイヴンズ',
  story_10: 6,
  animation_10: 7,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 6,
  score_100: 64,
  confidence: 0.8,
  rationale: 'シナリオはバトルと相棒関係に焦点を当てているが、特に新鮮さは感じられない。作画は良好で、テンポもまずまずだが、感情的な深みはやや不足。'
}
→ {
  id: 284,
  title: '凪のあすから',
  story_10: 8,
  animation_10: 9,
  world_10: 10,
  emotion_10: 9,
  tempo_10: 7,
  music_10: 8,
  score_100: 86.5,
  confidence: 0.9,
  rationale: '感情の波が大きく、恋愛や成長の描写が強い。世界観が独特で没入感が高いが、テンポはややダレる部分もある。'
}
→ {
  id: 285,
  title: 'はたらく魔王さま！',
  story_10: 7,
  animation_10: 6,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 8,
  music_10: 5,
  score_100: 65.5,
  confidence: 0.8,
  rationale: 'ギャグと日常が中心でストーリーは平凡だが楽しめる。作画は良いが特筆すべき点は少ない。テンポは良好で視聴しやすい。'
}
→ {
  id: 286,
  title: 'Fate/kaleid liner プリズマ☆イリヤ',
  story_10: 6,
  animation_10: 7,
  world_10: 7,
  emotion_10: 6,
  tempo_10: 8,
  music_10: 7,
  score_100: 66,
  confidence: 0.8,
  rationale: 'ストーリーは可もなく不可もなくで6。作画は良いが特別ではなく、世界観は一般的な魔法少女もの。テンポは良く、音楽もシーンを盛り上げる。'
}
→ {
  id: 287,
  title: 'フォトカノ',
  story_10: 5,
  animation_10: 6,
  world_10: 6,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 5,
  score_100: 57.5,
  confidence: 0.7,
  rationale: '恋愛要素はあるが、シナリオは平凡で感情の動きも限定的。作画は良いが特筆すべき点は少ない。'
}
→ {
  id: 288,
  title: '変態王子と笑わない猫。',
  story_10: 6,
  animation_10: 7,
  world_10: 6,
  emotion_10: 7,
  tempo_10: 7,
  music_10: 6,
  score_100: 64.5,
  confidence: 0.8,
  rationale: 'ストーリーは面白いが特に印象的ではなく、感情の動きはあるが深みには欠ける。作画は良好だが特筆すべき点は少ない。'
}
→ {
  id: 289,
  title: 'まおゆう魔王勇者',
  story_10: 8,
  animation_10: 6,
  world_10: 9,
  emotion_10: 7,
  tempo_10: 7,
  music_10: 6,
  score_100: 74.5,
  confidence: 0.8,
  rationale: '政治経済をテーマにした独自のストーリーが魅力的で、世界観も高評価。作画は平凡で、音楽は感情を増幅するほどではない。'
}
→ {
  id: 290,
  title: '機巧少女は傷つかない',
  story_10: 6,
  animation_10: 7,
  world_10: 8,
  emotion_10: 6,
  tempo_10: 7,
  music_10: 6,
  score_100: 66,
  confidence: 0.8,
  rationale: '設定は面白いがストーリーは平凡。作画は良好で、スチームパンクの世界観が魅力的。感情的な深みはやや不足。'
}
→ {
  id: 291,
  title: '問題児たちが異世界から来るそうですよ？',
  story_10: 6,
  animation_10: 6,
  world_10: 7,
  emotion_10: 5,
  tempo_10: 8,
  music_10: 6,
  score_100: 61.5,
  confidence: 0.8,
  rationale: 'ストーリーは異世界ものとしては平凡で、キャラクターの個性はあるが深みには欠ける。テンポは良好で視聴ストレスは少ないが、感情的な引き込みは弱め。'
}
→ {
  id: 292,
  title: 'やはり俺の青春ラブコメはまちがっている。',
  story_10: 8,
  animation_10: 7,
  world_10: 8,
  emotion_10: 9,
  tempo_10: 8,
  music_10: 7,
  score_100: 80.5,
  confidence: 0.8,
  rationale: '会話劇が魅力的で心に響くシーンが多い。作画は良いが特別ではなく、音楽は感情を引き立てるが突出はしない。'
}
→ {
  id: 293,
  title: '勇者になれなかった俺はしぶしぶ就職を決意しました。',
  story_10: 5,
  animation_10: 6,
  world_10: 6,
